group,n,positives,hutton_alert_rate,hutton_recall,hutton_auc,huttonday14_auc,clim_auc,near100_auc,best_auc,best_recall_at_hutton_rate,best_rate_for_hutton_recall
all,1351361,12394,0.6069177666071465,0.8395191221558819,0.6173772021400433,0.6890546440975587,0.6989518569723627,0.7562394677261853,0.8578881478624022,0.9574794255284815,0.29926126327458025
England,962816,7549,0.6095058661260303,0.8138826334613856,0.6029959276405221,0.6708075409210259,0.6841805989650578,0.7601142864962636,0.8464010751927421,0.9505894820506027,0.28534008574847114
Northern Ireland,25722,35,0.6410854521421352,1.0,0.6797017946821349,0.6039302815765618,0.7453169752348325,0.6097876079617817,0.7287315985295507,1.0,0.5344063447632377
Scotland,259832,3484,0.5367622155854552,0.8573478760045924,0.662471354014904,0.7394604962323659,0.7169919431064727,0.7688272143446578,0.8732231879930297,0.9638346727898967,0.2984582345515564
Wales,102991,1326,0.7511821421289239,0.9343891402714932,0.5927982685570322,0.7040551996290422,0.7361807207135432,0.6752697748401633,0.8527743686028827,0.9607843137254902,0.6142866852443417
2012,96576,1823,0.6192532306163022,0.9572133845309929,0.6722311685353771,0.7646386248499354,0.818126638455353,0.7637228911693196,0.8666076794903057,0.9791552386176632,0.49396330351225975
2013,96576,378,0.6579792080848244,0.9391534391534392,0.6411395379305316,0.7112871864477928,0.6309295142041145,0.6805415027493449,0.8464305074707578,0.9894179894179894,0.48411613651424784
2014,96033,1403,0.6965938791873627,0.7740555951532431,0.539305088076463,0.5775917180233567,0.7073265392187706,0.710718110653271,0.8325676195896401,0.9907341411261582,0.3115803942394802
2015,96548,357,0.41676678957616936,0.6414565826330533,0.6127618495496253,0.6706613740921096,0.7069205825815684,0.6831830444021751,0.8576286436646371,0.9215686274509803,0.13701992791150516
2016,96595,1035,0.6789585382266163,0.8444444444444444,0.5836391330635784,0.68229974642231,0.7285317113663066,0.681890771511133,0.8183106043601612,0.9487922705314009,0.4049692013044153
2017,96599,961,0.7556289402581807,0.8938605619146722,0.5698103077249389,0.6021246458337881,0.6126093181453242,0.711368673657315,0.8203972090909313,0.9739854318418314,0.4795391256638267
2018,96598,369,0.5389449056916292,0.7371273712737128,0.5994712083171295,0.6664712345925276,0.5669423640271383,0.6950830309620787,0.8292979053100552,0.9051490514905149,0.22769622559473282
2019,96514,1188,0.5850861014982283,0.8720538720538721,0.6452720527841691,0.7520614400938237,0.7385435093156492,0.7288582398547151,0.8722977895947497,0.9688552188552189,0.3233313301697163
2020,96600,471,0.5572360248447205,0.7791932059447984,0.6115223485850655,0.627012083616674,0.6191132629435778,0.6985168704323559,0.8295663344631182,0.9426751592356688,0.3255175983436853
2021,96600,1202,0.7171325051759835,0.9758735440931781,0.6310005679332953,0.7104041509397236,0.7415688495372343,0.7768931990641955,0.8848283793906039,0.9991680532445923,0.5078260869565218
2022,96600,434,0.4846273291925466,0.5829493087557603,0.5493828547813491,0.5705887697454028,0.49291170241242793,0.6530369888435043,0.7986260628822416,0.880184331797235,0.1656832298136646
2023,96600,998,0.6956418219461697,0.9188376753507014,0.6127629099750934,0.6334160287269798,0.7320220921330537,0.749838430233828,0.8855023125475235,0.9899799599198397,0.34658385093167704
2024,96596,1392,0.6467969688185846,0.6939655172413793,0.5239291054128413,0.5430589393459755,0.7205140582569939,0.749766728988978,0.8675317358441909,0.9655172413793104,0.14403287920824878
2025,96326,383,0.4461723729834105,0.7127937336814621,0.6338428503934656,0.6979106447804123,0.5740589311500744,0.7238617854285708,0.9010333567017558,0.9451697127937336,0.07714428087951332
