id,name,wmo,icao,lat,lon,elev,start,end
03768,Farnborough,03768,EGLF,51.2833,-0.7667,65,1988-05-01,2026-03-10
03772,London Heathrow Airport,03772,EGLL,51.4833,-0.45,24,1948-12-01,2026-03-10
03776,London Gatwick Airport,03776,EGKK,51.15,-0.1833,62,1973-01-01,2026-03-10
03801,Manston,03801,EGMH,51.34,1.34,55,1930-02-28,2025-03-24
03803,"Scilly, Saint Mary'S",03803,EGHE,49.9167,-6.3,31,1986-01-01,2026-03-09
03809,Culdrose,03809,EGDR,50.0833,-5.25,78,1973-01-01,2026-03-10
03827,Plymouth,03827,EGDB,50.35,-4.1167,50,1973-01-01,2026-03-10
03839,Exeter Airport,03839,EGTE,50.7333,-3.4167,30,1973-01-01,2026-03-09
03853,Yeovilton,03853,EGDY,51.0,-2.6333,23,1973-01-01,2026-03-10
03862,Bournemouth Airport,03862,EGHH,50.7833,-1.8333,11,1973-01-01,2026-03-09
03865,Southampton / Weather Centre,03865,EGHI,50.9,-1.4,9,1973-01-01,2026-03-10
03876,Shoreham Airport,03876,EGKA,50.8333,-0.2833,2,1986-12-01,2026-03-09
03891,Alderney / Butes / Newtown,03891,EGJA,49.7167,-2.2,71,1987-06-29,2026-03-09
03894,Guernsey Airport,03894,EGJB,49.4333,-2.6,102,1929-10-01,2026-03-10
03895,Jersey Airport,03895,EGJJ,49.2167,-2.2,84,1973-01-01,2026-03-10
03917,Belfast / Aldergrove Airport,03917,EGAA,54.65,-6.2167,81,1930-02-28,2026-03-10
03924,Belfast / Harbour,03924,EGAC,54.6,-5.8833,5,1973-01-01,2026-03-10
EGAE0,Eglinton / Greysteel,,EGAE,55.05,-7.15,9,1990-04-24,2026-03-09
EGBJ0,Gloucestershire / Staverton,,EGBJ,51.9,-2.1667,29,1977-10-01,2026-03-09
EGEO0,Oban / Connel,,EGEO,56.4635,-5.3997,6,1978-09-02,2026-03-09
EGHC0,Land's End / Lands End / Crows-an-Wra,,EGHC,50.1028,-5.6706,122,1973-03-08,2026-03-09
EGKB0,Biggin Hill / berry's green,,EGKB,51.3167,0.0333,183,1988-01-05,2026-03-10
EGLC0,London / Abbey Wood,,EGLC,51.5,0.1167,5,1988-01-29,2026-03-10
EGNJ0,Humberside / Kirmington,,EGNJ,53.5833,-0.35,31,1975-01-09,2026-03-10
EGNM0,Leeds And Bradford / Yeadon,,EGNM,53.8667,-1.65,208,1988-01-05,2026-03-09
EGNX0,East Midlands / Castle Donington,,EGNX,52.8333,-1.3333,94,1973-01-01,2026-03-10
EGPI0,Islay / Kintra,,EGPI,55.6833,-6.25,18,2004-05-10,2026-03-10
EGPM0,Scatsa / Scatsta / Brae,,EGPM,60.4333,-1.3,22,1981-10-15,2020-07-01
EGPW0,Unst Island / Baltasound,,EGPW,60.7333,-0.8167,285,1973-01-01,2025-05-13
EGSC0,Cambridge / Teversham,,EGSC,52.2,0.1833,15,1977-02-01,2026-03-09
EGTC0,Cranfield,,EGTC,52.0667,-0.6167,111,1990-02-08,2026-03-09
EGUO0,Colerne,,EGUO,51.4391,-2.2864,180,1942-04-28,2024-01-24
EGXS0,Donna Nook / Donnanook / North Somercotes,,EGXS,53.4749,0.1521,3,2011-05-12,2026-03-10
